"County","Total Market Value","Total Actual Levy","Total County Tax Rate","Total Appraised Value (Total Taxable Value for FM/FC)","Total Appraised Value (Total Taxable Value for County Tax Purposes)"
"Red River","$1,850,111,182","$4,359,342","$0.801500","$575,834,482","$536,154,026"
"Reeves","$12,240,360,214","$59,158,281","$0.499520","$11,917,514,819","$11,843,025,556"
"Refugio","$1,532,707,420","$6,026,589","$0.800000","$0","$753,323,610"
"Roberts","$749,786,417","$3,523,269","$0.670000","$523,665,401","$526,730,267"
"Robertson","$4,917,503,366","$13,605,354","$0.485000","$0","$2,805,227,563"
"Rockwall","$12,786,885,672","$38,374,007","$0.328400","$11,989,593,795","$11,685,142,140"
"Runnels","$1,523,774,840","$4,540,481","$0.615188","$748,778,153","$738,064,024"
"Rusk","$5,051,016,680","$20,595,549","$0.550647","$3,947,067,940","$3,695,739,030"
"Sabine","$1,179,198,932","$2,920,063","$0.428826","$760,862,340","$680,943,631"
"San Augustine","$1,216,631,820","$3,163,721","$0.393870","$0","$803,239,860"
"San Jacinto","$2,865,524,642","$11,973,953","$0.639980","$1,998,241,190","$1,841,946,282"
"San Patricio","$12,529,535,800","$35,651,718","$0.516324","$7,306,047,238","$6,904,911,986"
"San Saba","$2,537,619,570","$3,349,155","$0.710000","$0","$471,711,942"
"Schleicher","$950,834,666","$2,654,833","$0.896500","$296,051,928","$296,148,437"
"Scurry","$3,649,013,828","$11,467,078","$0.449800","$0","$2,549,372,619"
"Shackelford","$1,306,663,386","$3,549,422","$0.615100","$580,294,382","$577,048,005"
"Shelby","$2,262,041,047","$11,292,726","$0.856200","$1,316,479,134","$1,319,472,246"
"Sherman","$1,051,961,900","$3,788,407","$0.674698","$0","$561,496,760"
"Smith","$20,329,916,663","$58,814,361","$0.337311","$0","$17,436,241,612"
"Somervell","$2,826,470,943","$11,449,236","$0.489232","$2,465,252,376","$2,340,246,729"
"Starr","$4,030,687,542","$16,612,590","$0.782300","$2,106,488,078","$2,131,410,337"
"Stephens","$1,573,361,733","$4,257,313","$0.732800","$0","$580,965,243"
"Sterling","$1,060,423,820","$4,489,108","$0.526117","$0","$853,252,804"
"Stonewall","$744,522,120","$1,978,474","$0.955400","$207,753,267","$206,958,507"
"Sutton","$1,596,005,108","$4,006,815","$0.702094","$568,541,034","$571,160,034"
"Swisher","$732,798,417","$2,642,365","$0.820000","$320,317,155","$322,447,483"
"Tarrant","$210,610,000,000","$444,045,150","$0.234000","$196,088,000,000","$189,763,000,000"
"Taylor","$9,996,258,558","$53,652,590","$0.609100","$0","$8,808,502,758"
"Terrell","$650,101,194","$2,025,877","$0.800000","$260,346,544","$253,234,660"
"Terry","$1,277,696,805","$6,722,741","$0.702815","$968,793,615","$956,544,927"
"Throckmorton","$910,296,890","$1,800,611","$1.023426","$174,707,330","$175,990,730"
"Titus","$3,136,855,987","$11,399,989","$0.508500","$0","$2,241,885,720"
"Tom Green","$9,396,907,979","$36,431,532","$0.545000","$0","$6,684,684,822"
"Travis","$223,070,000,000","$671,397,951","$0.354200","$0","$189,553,000,000"
"Trinity","$1,903,378,695","$5,785,080","$0.650000","$913,134,146","$890,012,275"
"Tyler","$2,272,247,120","$10,893,225","$0.969200","$1,182,047,962","$1,103,675,677"
"Upshur","$3,044,826,277","$12,263,682","$0.595000","$2,358,752,975","$2,061,123,008"
"Upton","$4,915,481,626","$15,710,604","$0.351570","$4,494,768,058","$4,468,698,829"
"Uvalde","$4,082,360,085","$13,432,748","$0.735900","$1,811,861,817","$1,827,982,728"
"Val Verde","$3,643,279,694","$13,693,144","$0.523700","$2,600,062,009","$2,615,379,620"
"Van Zandt","$4,768,112,552","$17,449,256","$0.615847","$0","$2,833,375,172"
"Victoria","$8,601,947,171","$27,277,761","$0.395900","$0","$6,890,063,280"
"Walker","$5,259,333,965","$20,729,357","$0.549400","$3,854,876,431","$3,773,090,178"
"Waller","$8,049,855,781","$32,548,326","$0.686856","$5,139,059,070","$4,718,615,346"
"Ward","$3,411,543,190","$23,588,325","$0.720000","$3,301,323,353","$3,274,560,593"
"Washington","$6,929,801,168","$18,342,105","$0.517100","$3,534,008,547","$3,551,103,529"
"Webb","$24,333,503,904","$88,053,325","$0.412000","$21,938,082,939","$21,372,166,198"
"Wharton","$5,988,038,767","$16,092,347","$0.473960","$3,392,198,775","$3,395,673,269"
"Wheeler","$2,556,167,230","$8,924,677","$0.487280","$1,844,731,140","$1,829,537,230"
"Wichita","$7,614,702,321","$45,226,481","$0.657147","$7,167,522,784","$6,882,247,142"
"Wilbarger","$2,060,733,010","$5,868,029","$0.524400","$1,113,446,350","$1,121,222,120"
"Willacy","$1,983,990,494","$6,190,028","$0.756800","$0","$817,921,341"
"Williamson","$72,732,892,034","$299,872,781","$0.459029","$65,779,431,414","$65,284,504,891"
"Wilson","$4,826,652,935","$16,020,821","$0.473800","$0","$3,381,346,700"
"Winkler","$1,686,326,364","$9,519,636","$0.590000","$1,611,051,303","$1,613,729,583"
"Wise","$10,893,805,585","$26,547,220","$0.360000","$7,859,905,607","$7,317,753,346"
"Wood","$4,326,786,135","$17,053,373","$0.579900","$3,388,033,565","$2,940,743,743"
"Yoakum","$2,431,336,818","$17,645,362","$0.808420","$2,179,742,246","$2,183,282,265"
"Young","$1,995,597,201","$8,377,197","$0.758613","$0","$1,104,278,131"
"Zapata","$1,766,194,878","$7,424,174","$0.694026","$1,107,196,452","$1,069,725,013"
"Zavala","$2,531,093,184","$7,559,831","$0.720000","$0","$1,049,976,574"
